time,shoulder_pan_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,shoulder_lift_joint,end_mill_joint
1754933386.732429,-0.09948156790987274,0.017255298758813854,-0.006687959314926323,1.4290599953392658e-12,-0.0994815679086039,-0.010567339445119114,-2.003241322823257e-13
1754933386.7426796,-0.10803371156307372,0.01846011490519336,-0.007126865236761662,1.8383584585168755e-12,-0.10803371156177263,-0.011333249669567003,-2.491271078319812e-13
1754933386.7525733,-0.11673068092453479,0.01962313192749678,-0.007542834697459776,2.221045396211263e-12,-0.11673068092318466,-0.01208029723108452,-3.0288098418207454e-13
1754933386.763111,-0.125489070578693,0.020729507986455516,-0.007930077868653962,2.581558231073977e-12,-0.1254890705773234,-0.012799430118784188,-3.6126657221302594e-13
1754933386.7735639,-0.1340763778666444,0.021749805061264185,-0.008278284679171743,2.9132555742772404e-12,-0.13407637786525964,-0.013471520383001787,-4.226150679409457e-13
1754933386.7828689,-0.14249146005872498,0.02267678081092489,-0.008583947909533863,3.22277447784014e-12,-0.14249146005733568,-0.01409283290224525,-4.866749364618173e-13
1754933386.7932897,-0.15093834795577116,0.023522967875776346,-0.008849636467700052,3.5012210145013434e-12,-0.15093834795438266,-0.014673331408879237,-5.549467135823605e-13
1754933386.803251,-0.15969886391917557,0.024308436751261858,-0.00908024247812033,3.777422818984633e-12,-0.1596988639178125,-0.015228194273904882,-6.29928401107982e-13
1754933386.8134289,-0.1690179780979194,0.02504978237437699,-0.009279603661841386,4.0602339199113935e-12,-0.169017978096569,-0.015770178713270203,-7.144215774523843e-13
1754933386.8235223,-0.1790006290329135,0.02575021205143328,-0.009447463478632971,4.360698434291432e-12,-0.17900062903158387,-0.016302748573516986,-8.103569898443297e-13
1754933386.8334086,-0.1895188622009109,0.02639062459303613,-0.009576735254858354,4.665520574043125e-12,-0.18951886219960226,-0.01681388933888627,-9.173738158008149e-13
1754933386.8435674,-0.20012825470400908,0.026921581535665033,-0.009651039898628958,4.981390300251576e-12,-0.20012825470272266,-0.017270541637741225,-1.0316695414624988e-12
1754933386.8534563,-0.20999269749022292,0.02725608124093814,-0.009642489843356278,5.288435488137733e-12,-0.2099926974889679,-0.017613591398272156,-1.1436043084733782e-12
1754933386.8635757,-0.21812268986242234,0.027298912660828453,-0.009521863264847424,5.511347454800752e-12,-0.2181226898611967,-0.01777704939665503,-1.2400636073550686e-12
1754933386.8737042,-0.22443978508912132,0.027067608841031543,-0.009299087458497893,5.6501756398597e-12,-0.22443978508796447,-0.01776852138319721,-1.3176335023068475e-12
1754933386.8836355,-0.22912523539263818,0.026607900365544855,-0.008993322094869105,5.713781878191604e-12,-0.2291252353915804,-0.017614578271312572,-1.3769558410148264e-12
